,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
2245,莺,ying1,10,1864,83882,-0.957,17032,12870,21326,21672,9254,3569,53.059,62.78,102.038,104.696,55.083,39.656,69.552,4.151,12.219,4.879,3.75,3.6,3.2,iŋ,1,high,level,1,0,0,front,high,unround,0.02173862337601754,0.02173862337601754
2246,婴,ying1,11,1241,5795,-0.647,878,697,1280,2268,1396,513,2.735,3.4,6.124,10.957,8.31,5.7,6.204,5.142,32.67,4.473,2.75,3.3,2.7,iŋ,1,high,level,1,0,0,front,high,unround,0.17637862421830586,0.17637862421830586
2247,瑛,ying1,12,36631,309551,-0.788,76120,62877,74434,66389,43141,23096,237.134,306.717,356.144,320.72,256.792,256.622,289.022,3.538,8.103,5.041,3.75,3.8,3.2,iŋ,1,high,level,1,0,0,front,high,unround,0.10581428266056583,0.10581428266056583
2248,缨,ying1,14,1310,9687,-0.762,956,3927,3624,843,712,927,2.978,19.156,17.34,4.072,4.238,10.3,9.681,4.971,3.537,5.343,3.4375,3.3,3.3,iŋ,1,high,level,1,0,0,front,high,unround,0.11912339729017005,0.11912339729017005
2249,璎,ying1,15,315,4767,-0.876,181,248,528,849,1353,1925,0.564,1.21,2.526,4.101,8.054,21.389,6.307,5.136,1.029,5.693,3.5,3.7,3.1,iŋ,1,high,level,1,0,0,front,high,unround,0.06198347107438017,0.06198347107438017
2250,樱,ying1,15,1715,55726,-0.94,2622,3229,6529,15577,16219,13268,8.168,15.751,31.239,75.251,96.542,147.422,62.396,4.198,10.29,4.947,3.6875,3.9,3.1,iŋ,1,high,level,1,0,0,front,high,unround,0.02985672255009488,0.02985672255009488
2251,鹦,ying1,16,139,718,-0.676,53,113,199,278,145,65,0.165,0.551,0.952,1.343,0.863,0.722,0.766,5.753,4.695,5.245,2.8125,3.3,2.2,iŋ,1,high,level,1,0,0,front,high,unround,0.16219369894982497,0.16219369894982497
2252,膺,ying1,17,360,190,0.309,110,126,138,93,55,28,0.343,0.615,0.66,0.449,0.327,0.311,0.451,5.838,2.958,5.402,2.875,2.8,3.1,iŋ,1,high,level,1,0,0,front,high,unround,0.6545454545454545,0.6545454545454545
2253,鹰,ying1,18,38031,34398,0.05,6475,15310,25391,14962,7240,2537,20.171,74.683,121.488,72.28,43.095,28.189,59.984,4.215,31.641,4.486,3.4375,2.9,3.3,iŋ,1,high,level,1,0,0,front,high,unround,0.5250797332560162,0.5250797332560162
2254,迎,ying2,7,311977,482318,-0.214,100451,118299,195213,197887,136381,45609,312.931,577.068,934.033,955.976,811.792,506.767,683.095,3.165,131.453,3.878,3.375,3.4,3.3,iŋ,2,mid,rising,0,1,0,front,high,unround,0.3927722067997407,0.3927722067997407
2255,荧,ying2,9,3102,26508,-0.79,622,451,834,4618,11582,11596,1.938,2.2,3.99,22.309,68.94,128.844,38.037,4.409,17.3,4.738,3.3125,3.5,3.1,iŋ,2,mid,rising,0,1,0,front,high,unround,0.10476190476190476,0.10476190476190476
2256,盈,ying2,9,64484,288713,-0.635,30612,18505,24991,71738,89450,117895,95.364,90.268,119.574,346.56,532.44,1309.944,415.692,3.38,40.13,4.386,4.0625,3.9,3.5,iŋ,2,mid,rising,0,1,0,front,high,unround,0.18257233215457663,0.18257233215457663
2257,莹,ying2,10,74008,1925270,-0.926,37986,46755,135965,531638,783567,463683,118.336,228.073,650.55,2568.3,4664.089,5152.033,2230.23,2.651,13.891,4.827,4.0,3.5,3.1,iŋ,2,mid,rising,0,1,0,front,high,unround,0.0370173632681398,0.0370173632681398
2258,萤,ying2,11,432,5327,-0.85,198,207,357,1484,1943,1564,0.617,1.01,1.708,7.169,11.565,17.378,6.575,5.121,6.946,5.1,2.8125,3.1,2.9,iŋ,2,mid,rising,0,1,0,front,high,unround,0.0750130230942872,0.0750130230942872
2259,营,ying2,11,377872,123995,0.506,100037,97470,108008,119704,62465,14067,311.642,475.463,516.785,578.28,371.815,156.3,401.714,3.395,416.932,3.379,2.75,2.9,2.9,iŋ,2,mid,rising,0,1,0,front,high,unround,0.7529325498588272,0.7529325498588272
2260,萦,ying2,11,107,2599,-0.921,41,51,157,536,1007,915,0.128,0.249,0.751,2.589,5.994,10.167,3.313,5.365,3.601,5.337,3.3125,3.4,3.2,iŋ,2,mid,rising,0,1,0,front,high,unround,0.03954175905395418,0.03954175905395418
2261,蓥,ying2,13,1461,6359,-0.626,36,51,252,882,2559,4042,0.112,0.249,1.206,4.261,15.232,44.911,10.995,4.921,0.0,6.0,2.9375,3.0,2.9,iŋ,2,mid,rising,0,1,0,front,high,unround,0.18682864450127878,0.18682864450127878
2262,楹,ying2,13,1758,4263,-0.416,494,162,392,1033,1540,2391,1.539,0.79,1.876,4.99,9.167,26.567,7.488,5.071,0.707,5.768,3.0625,3.1,2.8,iŋ,2,mid,rising,0,1,0,front,high,unround,0.29197807673143994,0.29197807673143994
2263,滢,ying2,13,6139,129220,-0.909,783,1247,6680,18368,42685,65558,2.439,6.083,31.962,88.734,254.077,728.422,185.286,3.73,0.514,5.82,3.25,3.5,3.0,iŋ,2,mid,rising,0,1,0,front,high,unround,0.045353467445829236,0.045353467445829236
2264,潆,ying2,14,251,4575,-0.896,22,34,158,632,1245,2738,0.069,0.166,0.756,3.053,7.411,30.422,6.98,5.098,0.0,6.0,3.1875,2.8,3.1,iŋ,2,mid,rising,0,1,0,front,high,unround,0.05200994612515541,0.05200994612515541
2265,嬴,ying2,16,558,793,-0.174,23,31,106,380,490,321,0.072,0.151,0.507,1.836,2.917,3.567,1.508,5.601,0.322,5.879,3.0,2.9,3.0,iŋ,2,mid,rising,0,1,0,front,high,unround,0.41302738712065135,0.41302738712065135
2266,赢,ying2,17,21897,15270,0.178,911,1089,2787,9396,12183,10772,2.838,5.312,13.335,45.391,72.518,119.689,43.181,4.355,19.808,4.682,3.5625,3.4,3.4,iŋ,2,mid,rising,0,1,0,front,high,unround,0.5891516668011946,0.5891516668011946
2267,瀛,ying2,19,11161,9305,0.091,2721,1046,2241,4915,4916,4647,8.477,5.102,10.722,23.744,29.262,51.633,21.49,4.648,1.672,5.573,3.0,3.4,3.0,iŋ,2,mid,rising,0,1,0,front,high,unround,0.5453434965308316,0.5453434965308316
2268,颍,ying3,12,3831,23338,-0.718,1197,3760,6556,5888,5034,4766,3.729,18.341,31.368,28.444,29.964,52.956,27.467,4.546,0.322,5.879,3.3125,3.6,3.6,iŋ,3,low,falling-rising,0,1,1,front,high,unround,0.14100629393794398,0.14100629393794398
2269,颖,ying3,13,280659,1996886,-0.754,67965,113959,322038,529034,707035,537519,211.729,555.898,1540.852,2555.72,4208.542,5972.433,2507.529,2.601,19.872,4.68,4.0625,4.0,3.8,iŋ,3,low,falling-rising,0,1,1,front,high,unround,0.12322873971754675,0.12322873971754675
2270,影,ying3,15,46552,749475,-0.883,53614,103736,197425,247139,151633,42708,167.022,506.029,944.617,1193.908,902.577,474.533,698.114,3.155,638.55,3.194,3.25,3.3,3.0,iŋ,3,low,falling-rising,0,1,1,front,high,unround,0.05848042842767896,0.05848042842767896
2271,应,ying4,7,1298681,697126,0.301,773042,415341,377549,236153,145200,50630,2408.231,2026.054,1806.455,1140.836,864.286,562.556,1468.07,2.833,1483.861,2.828,3.0625,3.3,2.9,iŋ,4,high,falling,0,0,1,front,high,unround,0.6507047024085997,0.6507047024085997
2272,映,ying4,9,181225,356295,-0.326,145577,90742,104077,90881,75708,30328,453.511,442.644,497.976,439.039,450.643,336.978,436.799,3.359,241.297,3.616,3.0,3.3,2.9,iŋ,4,high,falling,0,0,1,front,high,unround,0.33715024557225776,0.33715024557225776
2273,拥,yong1,8,113821,17465,0.734,6285,45339,62802,11552,3711,759,19.579,221.166,300.488,55.807,22.089,8.433,104.594,3.976,86.435,4.058,3.0625,3.2,2.8,joŋ,1,high,level,1,0,0,back,middle,rounded,0.8669698216108344,0.8669698216108344
2274,庸,yong1,11,6905,900,0.769,3357,744,692,859,1270,883,10.458,3.629,3.311,4.15,7.56,9.811,6.487,5.126,26.239,4.565,2.375,3.0,2.8,joŋ,1,high,level,1,0,0,back,middle,rounded,0.8846893017296604,0.8846893017296604
2275,雍,yong1,13,22895,5113,0.635,4194,2130,3062,6295,6975,5323,13.065,10.39,14.651,30.411,41.518,59.144,28.197,4.535,6.238,5.14,3.4375,3.3,3.5,joŋ,1,high,level,1,0,0,back,middle,rounded,0.8174450157097972,0.8174450157097972
2276,墉,yong1,14,1669,103,0.884,470,68,94,176,397,567,1.464,0.332,0.45,0.85,2.363,6.3,1.96,5.529,0.0,6.0,2.625,3.1,2.9,joŋ,1,high,level,1,0,0,back,middle,rounded,0.9418735891647856,0.9418735891647856
2277,镛,yong1,16,4054,361,0.836,2405,334,345,352,598,399,7.492,1.629,1.651,1.7,3.56,4.433,3.411,5.355,0.0,6.0,2.875,2.9,3.3,joŋ,1,high,level,1,0,0,back,middle,rounded,0.918233295583239,0.918233295583239
2278,永,yong3,5,12090324,4297884,0.475,4844805,3329479,3771343,2521969,1380226,537420,15092.85,16241.361,18044.703,12183.425,8215.631,5971.333,12624.884,1.899,155.441,3.806,3.9375,3.9,3.6,joŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.7377453349383899,0.7377453349383899
2279,甬,yong3,7,777,106,0.76,89,121,177,193,164,139,0.277,0.59,0.847,0.932,0.976,1.544,0.861,5.73,2.187,5.497,3.125,3.3,3.1,joŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.8799546998867497,0.8799546998867497
2280,咏,yong3,8,54875,181637,-0.536,25507,35826,65065,31794,38226,39507,79.461,174.761,311.316,153.594,227.536,438.967,230.939,3.635,8.232,5.035,3.4375,3.3,2.9,joŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.23201782573400082,0.23201782573400082
2281,泳,yong3,8,133155,107851,0.105,20039,13965,28469,43508,75343,59851,62.427,68.122,136.215,210.184,448.47,665.011,265.072,3.575,23.409,4.612,3.125,3.1,2.8,joŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.552496618341452,0.552496618341452
2282,勇,yong3,9,6630578,235729,0.931,453631,1044000,2304076,1840855,947806,274838,1413.181,5092.683,11024.287,8893.019,5641.702,3053.756,5853.105,2.233,127.337,3.892,4.1875,3.6,3.8,joŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.9656687357556253,0.9656687357556253
2283,涌,yong3,10,46847,2746,0.889,4569,5533,11220,10367,10568,7299,14.234,26.99,53.684,50.082,62.905,81.1,48.166,4.308,52.157,4.274,3.0625,3.3,3.0,joŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.9446292823583974,0.9446292823583974
2284,用,yong4,5,93596,26775,0.555,48034,26037,22365,14107,7737,2221,149.639,127.01,107.01,68.15,46.054,24.678,87.09,4.055,3399.896,2.468,2.6875,2.7,2.6,joŋ,4,high,falling,0,0,1,back,middle,rounded,0.7775627019797127,0.7775627019797127
2285,游,you,12,49973,13476,0.575,4780,4712,6121,18962,20030,8857,14.891,22.985,29.287,91.604,119.226,98.411,62.734,4.196,272.295,3.563,3.1875,3.3,3.2,jou,missing,missing,missing,missing,missing,missing,back,high,rounded,0.7876089457674668,0.7876089457674668
2286,优,you1,6,71369,90616,-0.119,27804,19920,23537,32717,34153,23927,86.617,97.171,112.617,158.053,203.292,265.856,153.934,3.81,292.039,3.533,4.0625,3.3,3.7,jou,1,high,level,1,0,0,back,high,rounded,0.4405901781029108,0.4405901781029108
2287,攸,you1,7,1229,1322,-0.036,372,140,188,375,612,866,1.159,0.683,0.9,1.812,3.643,9.622,2.97,5.401,1.222,5.653,3.375,3.2,3.3,jou,1,high,level,1,0,0,back,high,rounded,0.4817718541748334,0.4817718541748334
2288,幽,you1,9,489,3640,-0.763,353,268,478,780,1193,1058,1.1,1.307,2.287,3.768,7.101,11.756,4.553,5.255,45.597,4.332,3.0625,3.1,2.6,jou,1,high,level,1,0,0,back,high,rounded,0.11843061273916203,0.11843061273916203
2289,悠,you1,11,6278,18761,-0.499,621,356,731,3825,8554,10950,1.935,1.737,3.498,18.478,50.917,121.667,33.039,4.468,43.732,4.349,3.8125,3.7,3.0,jou,1,high,level,1,0,0,back,high,rounded,0.25072886297376096,0.25072886297376096
2290,尤,you2,4,27254,13309,0.344,14263,6794,5915,5589,5198,2801,44.433,33.141,28.301,27.0,30.94,31.122,32.49,4.475,128.302,3.888,3.25,3.2,2.9,jou,2,mid,rising,0,1,0,back,high,rounded,0.6718931045534108,0.6718931045534108
2291,由,you2,5,21177,5745,0.573,8294,4089,3930,4472,4074,2064,25.838,19.946,18.804,21.604,24.25,22.933,22.229,4.634,1602.58,2.795,3.0625,3.3,3.1,jou,2,mid,rising,0,1,0,back,high,rounded,0.7866057499442834,0.7866057499442834
