,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
1538,若,ruo4,8,190896,418317,-0.373,92472,44346,43136,58275,154237,215337,288.075,216.322,206.392,281.522,918.077,2392.633,717.17,3.144,211.264,3.673,3.4375,3.2,3.2,ɻuo,4,high,falling,0,0,1,back,high,rounded,0.3133485332716144,0.3133485332716144
1539,偌,ruo4,10,386,2526,-0.735,36,11,33,172,552,2106,0.112,0.054,0.158,0.831,3.286,23.4,4.64,5.249,2.508,5.455,2.9375,2.9,2.9,ɻuo,4,high,falling,0,0,1,back,high,rounded,0.13255494505494506,0.13255494505494506
1540,飒,sa4,9,3624,17747,-0.661,196,918,2119,6255,6532,5304,0.611,4.478,10.139,30.217,38.881,58.933,23.877,4.604,2.701,5.432,3.625,3.1,3.8,sa,4,high,falling,0,0,1,center,low,unround,0.1695755930934444,0.1695755930934444
1541,萨,sa4,11,1301,2685,-0.347,306,207,418,1479,1114,458,0.953,1.01,2.0,7.145,6.631,5.089,3.805,5.318,62.382,4.198,3.1875,2.9,2.9,sa,4,high,falling,0,0,1,center,low,unround,0.326392373306573,0.326392373306573
1544,三,san1,3,1010333,1069449,-0.028,865409,459819,382323,247145,105113,18039,2695.978,2243.02,1829.297,1193.937,625.673,200.433,1464.723,2.834,1716.283,2.765,2.4375,2.5,2.4,san,1,high,level,1,0,0,center,low,unround,0.4857879335430348,0.4857879335430348
1545,桑,sang1,10,35043,36916,-0.026,13415,11530,13728,15364,14046,3872,41.791,56.244,65.684,74.222,83.607,43.022,60.762,4.209,36.979,4.42,3.0625,3.1,3.0,saŋ,1,high,level,1,0,0,center,low,unround,0.4869856446031768,0.4869856446031768
1546,啬,se4,11,2,7,-0.556,0,1,3,2,3,0,0.0,0.005,0.014,0.01,0.018,0.0,0.008,5.997,2.572,5.447,2.375,2.3,2.6,se,4,high,falling,0,0,1,front,middle,unround,0.2222222222222222,0.2222222222222222
1547,森,sen1,12,1721708,99019,0.891,541971,248228,205585,271111,339816,214549,1688.383,1210.868,983.66,1309.715,2022.714,2383.878,1599.87,2.796,104.892,3.975,3.6875,3.7,3.3,sen,1,high,level,1,0,0,front,middle,unround,0.9456156798905053,0.9456156798905053
1548,沙,sha1,7,26220,192937,-0.761,7391,5383,8798,102032,82360,13310,23.025,26.259,42.096,492.908,490.238,147.889,203.736,3.689,204.639,3.687,2.8125,2.8,2.7,ʂa,1,high,level,1,0,0,center,low,unround,0.11964025789730649,0.11964025789730649
1549,砂,sha1,9,384,999,-0.445,48,54,87,649,449,96,0.15,0.263,0.416,3.135,2.673,1.067,1.284,5.641,26.239,4.565,2.4375,2.6,2.2,ʂa,1,high,level,1,0,0,center,low,unround,0.27765726681127983,0.27765726681127983
1550,莎,sha1,10,3959,463875,-0.983,6936,6292,15583,198566,184777,55612,21.607,30.693,74.56,959.256,1099.863,617.911,467.315,3.329,14.213,4.818,3.8125,3.4,2.7,suo,1,high,level,1,0,0,back,high,rounded,0.008462403331096073,0.008462403331096073
1551,厦,sha4,12,2945,2737,0.037,209,188,392,2701,1800,366,0.651,0.917,1.876,13.048,10.714,4.067,5.212,5.207,20.451,4.669,3.25,2.8,2.9,ʂa,4,high,falling,0,0,1,center,low,unround,0.5183034142907427,0.5183034142907427
1552,山,shan1,3,4140332,152161,0.929,1957689,923298,643039,429878,260897,78160,6098.72,4503.893,3076.742,2076.705,1552.958,868.444,3029.577,2.518,1000.302,2.999,3.625,3.4,3.1,ʂan,1,high,level,1,0,0,center,low,unround,0.9645518350292009,0.9645518350292009
1553,杉,shan1,7,39787,74051,-0.301,4084,3799,6796,23088,42784,33301,12.723,18.532,32.517,111.536,254.667,370.011,133.331,3.872,14.727,4.803,3.6875,3.5,3.2,ʂan,1,high,level,1,0,0,center,low,unround,0.3495054375516084,0.3495054375516084
1554,钐,shan1,8,387,926,-0.411,15,34,81,278,489,416,0.047,0.166,0.388,1.343,2.911,4.622,1.58,5.588,0.0,6.0,2.4375,2.2,3.1,ʂan,1,high,level,1,0,0,center,low,unround,0.2947448591012947,0.2947448591012947
1555,姗,shan1,8,1062,269585,-0.992,1418,2576,8773,107854,112738,37399,4.417,12.566,41.976,521.034,671.06,415.544,277.766,3.555,4.116,5.291,3.9375,3.8,3.0,ʂan,1,high,level,1,0,0,center,low,unround,0.003923930433368927,0.003923930433368927
1556,珊,shan1,9,69886,1084760,-0.879,66118,51164,90341,359114,440158,147412,205.975,249.58,432.254,1734.85,2619.988,1637.911,1146.76,2.94,20.13,4.675,4.0625,3.8,3.3,ʂan,1,high,level,1,0,0,center,low,unround,0.06052591010578134,0.06052591010578134
1557,舢,shan1,9,17,4,0.619,0,6,4,5,6,0,0.0,0.029,0.019,0.024,0.036,0.0,0.018,5.992,2.38,5.471,3.0,2.9,2.6,ʂan,1,high,level,1,0,0,center,low,unround,0.8095238095238095,0.8095238095238095
1558,闪,shan3,5,12828,65595,-0.673,3682,1800,2773,33310,33454,3375,11.47,8.78,13.268,160.918,199.131,37.5,71.845,4.138,133.704,3.871,2.875,2.9,3.0,ʂan,3,low,falling-rising,0,1,1,center,low,unround,0.163574461573773,0.163574461573773
1559,善,shan4,12,1348174,426361,0.519,840063,356738,258591,168888,96860,54207,2617.019,1740.185,1237.278,815.884,576.548,602.3,1264.869,2.898,260.719,3.582,4.1875,4.1,3.4,ʂan,4,high,falling,0,0,1,center,low,unround,0.7597336767096733,0.7597336767096733
1560,商,shang1,11,2119,1045,0.339,657,260,216,544,993,494,2.047,1.268,1.033,2.628,5.911,5.489,3.063,5.391,626.073,3.203,3.0625,3.0,3.2,ʂaŋ,1,high,level,1,0,0,center,low,unround,0.6697218710493047,0.6697218710493047
1561,晌,shang3,10,242,168,0.18,42,27,43,70,123,104,0.131,0.132,0.206,0.338,0.732,1.156,0.449,5.839,12.734,4.862,2.5,2.9,2.7,ʂaŋ,3,low,falling-rising,0,1,1,center,low,unround,0.5902439024390244,0.5902439024390244
1562,赏,shang3,12,4321,3817,0.062,1564,612,796,1694,2135,1331,4.872,2.985,3.809,8.184,12.708,14.789,7.891,5.051,106.822,3.967,3.0625,3.5,3.0,ʂaŋ,3,low,falling-rising,0,1,1,center,low,unround,0.5309658392725486,0.5309658392725486
1563,上,shang4,3,145933,28221,0.676,54624,27039,26739,28419,24303,12940,170.168,131.898,127.938,137.29,144.661,143.778,142.622,3.843,6030.689,2.22,3.375,3.3,3.2,ʂaŋ,4,high,falling,0,0,1,center,low,unround,0.8379537650585114,0.8379537650585114
1564,尚,shang4,8,890300,284686,0.515,441682,212281,178211,143887,123980,75070,1375.956,1035.517,852.684,695.106,737.976,834.111,921.892,3.035,147.338,3.829,3.9375,3.8,3.6,ʂaŋ,4,high,falling,0,0,1,center,low,unround,0.7577111557073871,0.7577111557073871
1572,畲,she1,12,1,0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.001,6.0,9.068,4.997,2.5,2.6,2.3,ju,1,high,level,1,0,0,back,high,rounded,1.0,1.0
1573,佘,she2,7,123,77,0.23,35,16,18,43,74,14,0.109,0.078,0.086,0.208,0.44,0.156,0.18,5.928,1.222,5.653,2.875,2.7,3.0,ʂe,2,mid,rising,0,1,0,front,middle,unround,0.615,0.615
1574,舍,she3,8,2019,4663,-0.396,3463,1218,831,625,400,145,10.788,5.941,3.976,3.019,2.381,1.611,4.619,5.25,86.306,4.059,2.75,2.9,3.0,ʂe,3,low,falling-rising,0,1,1,front,middle,unround,0.30215504340017957,0.30215504340017957
1575,设,she4,6,116743,4002,0.934,41559,33197,33698,8953,2456,882,129.467,161.937,161.234,43.251,14.619,9.8,86.718,4.057,762.542,3.117,2.625,2.7,2.9,ʂe,4,high,falling,0,0,1,front,middle,unround,0.9668557704252764,0.9668557704252764
1576,社,she4,7,240911,105236,0.392,145448,110885,66223,17098,4412,903,453.109,540.902,316.856,82.599,26.262,10.033,238.294,3.621,1841.433,2.735,2.875,3.0,3.2,ʂe,4,high,falling,0,0,1,front,middle,unround,0.6959788760266592,0.6959788760266592
1577,涉,she4,10,406,136,0.498,97,59,81,129,143,33,0.302,0.288,0.388,0.623,0.851,0.367,0.47,5.833,87.206,4.054,2.625,2.9,3.2,ʂe,4,high,falling,0,0,1,front,middle,unround,0.7490774907749077,0.7490774907749077
1578,滠,she4,13,44,7,0.725,1,0,1,19,17,13,0.003,0.0,0.005,0.092,0.101,0.144,0.058,5.976,0.0,6.0,2.875,2.8,3.1,ʂe,4,high,falling,0,0,1,front,middle,unround,0.8627450980392157,0.8627450980392157
1579,申,shen1,5,434090,71205,0.718,233887,89687,56536,48955,42035,34377,728.62,437.498,270.507,236.498,250.208,381.967,384.216,3.414,55.372,4.249,3.4375,2.9,2.9,ʂen,1,high,level,1,0,0,front,middle,unround,0.8590823182497354,0.8590823182497354
1580,伸,shen1,7,8863,1045,0.789,2332,744,820,1797,2533,1665,7.265,3.629,3.923,8.681,15.077,18.5,9.513,4.978,134.218,3.869,2.4375,2.8,2.5,ʂen,1,high,level,1,0,0,front,middle,unround,0.894529672991522,0.894529672991522
1581,身,shen1,7,6672,532,0.852,5448,576,357,345,290,188,16.972,2.81,1.708,1.667,1.726,2.089,4.495,5.26,1112.719,2.953,2.5,2.6,2.6,ʂen,1,high,level,1,0,0,front,middle,unround,0.926152137701277,0.926152137701277
1582,诜,shen1,8,1,2,-0.333,2,1,0,0,0,0,0.006,0.005,0.0,0.0,0.0,0.0,0.002,5.999,0.386,5.858,2.875,2.5,3.0,ʂen,1,high,level,1,0,0,front,middle,unround,0.3333333333333333,0.3333333333333333
1583,绅,shen1,8,6497,320,0.906,933,140,204,789,2153,2640,2.907,0.683,0.976,3.812,12.815,29.333,8.421,5.026,15.821,4.774,3.75,3.8,3.9,ʂen,1,high,level,1,0,0,front,middle,unround,0.9530585301452251,0.9530585301452251
1584,珅,shen1,9,10357,3432,0.502,158,224,789,3412,3971,5238,0.492,1.093,3.775,16.483,23.637,58.2,17.28,4.738,0.0,6.0,3.75,3.3,3.6,ʂen,1,high,level,1,0,0,front,middle,unround,0.7511059540213213,0.7511059540213213
1585,莘,shen1,10,3493,6239,-0.282,754,552,799,1167,2328,4132,2.349,2.693,3.823,5.638,13.857,45.911,12.379,4.874,1.029,5.693,3.5625,3.8,3.8,ɕin,1,high,level,1,0,0,front,high,unround,0.35891903000411013,0.35891903000411013
1586,深,shen1,11,233202,19056,0.849,86626,40594,33571,36199,35426,19711,269.863,198.02,160.627,174.874,210.869,219.011,205.544,3.685,617.391,3.209,3.3125,3.4,3.4,ʂen,1,high,level,1,0,0,front,middle,unround,0.9244582927003306,0.9244582927003306
1587,燊,shen1,16,38884,3767,0.823,4050,1391,2093,6468,14589,14039,12.617,6.785,10.014,31.246,86.839,155.989,50.582,4.288,0.0,6.0,3.625,3.2,3.5,ʂen,1,high,level,1,0,0,front,middle,unround,0.9116785069517713,0.9116785069517713
1588,神,shen2,9,17382,4658,0.577,7823,2645,2436,4407,3535,1187,24.371,12.902,11.656,21.29,21.042,13.189,17.408,4.735,820.744,3.085,3.125,3.2,3.4,ʂen,2,mid,rising,0,1,0,front,middle,unround,0.7886569872958258,0.7886569872958258
1589,沈,shen3,7,23571,11299,0.352,3027,2813,3733,7524,9366,8408,9.43,13.722,17.861,36.348,55.75,93.422,37.756,4.412,49.327,4.298,3.3125,3.1,3.0,ʂen,3,low,falling-rising,0,1,1,front,middle,unround,0.6759678806997419,0.6759678806997419
1590,慎,shen4,13,45927,17336,0.452,28430,11503,9223,6772,4967,2217,88.567,56.112,44.129,32.715,29.565,24.633,45.954,4.328,32.091,4.48,3.125,3.6,3.5,ʂen,4,high,falling,0,0,1,front,middle,unround,0.7259693659801147,0.7259693659801147
1591,升,sheng1,4,1096255,90851,0.847,330536,203052,207176,196734,167289,82098,1029.707,990.498,991.273,950.406,995.768,912.2,978.309,3.009,216.28,3.663,3.5,3.4,3.6,ʂeŋ,1,high,level,1,0,0,front,middle,unround,0.9234685023915303,0.9234685023915303
1592,生,sheng1,5,9911275,727828,0.863,4961270,2464187,1670612,927582,474682,137558,15455.67,12020.424,7993.359,4481.072,2825.488,1528.422,7384.073,2.132,4904.465,2.309,3.3125,3.4,3.1,ʂeŋ,1,high,level,1,0,0,front,middle,unround,0.9315893454551573,0.9315893454551573
1593,声,sheng1,7,256071,44259,0.705,118482,50594,45201,40004,31189,15329,369.103,246.8,216.273,193.256,185.649,170.322,230.234,3.636,936.762,3.028,3.0625,3.1,3.2,ʂeŋ,1,high,level,1,0,0,front,middle,unround,0.8526321046848466,0.8526321046848466
1594,笙,sheng1,11,4748,1244,0.585,952,447,546,821,1884,1363,2.966,2.18,2.612,3.966,11.214,15.144,6.347,5.134,4.373,5.27,3.5,3.6,3.4,ʂeŋ,1,high,level,1,0,0,front,middle,unround,0.7923898531375166,0.7923898531375166
1595,绳,sheng2,11,1251,358,0.555,467,190,207,250,378,111,1.455,0.927,0.99,1.208,2.25,1.233,1.344,5.63,46.24,4.326,2.1875,2.6,2.6,ʂeŋ,2,mid,rising,0,1,0,front,middle,unround,0.7775015537600994,0.7775015537600994
1596,省,sheng3,9,71768,30130,0.409,37049,21114,19144,15090,7373,2113,115.417,102.995,91.598,72.899,43.887,23.478,75.046,4.119,298.148,3.524,2.8125,3.1,2.8,ɕiŋ,3,low,falling-rising,0,1,1,front,high,unround,0.7043121552925474,0.7043121552925474
1597,圣,sheng4,5,829019,217324,0.585,354411,173691,145529,121961,131019,120086,1104.084,847.273,696.311,589.184,779.875,1334.289,891.836,3.049,94.216,4.021,3.9375,4.0,3.8,ʂeŋ,4,high,falling,0,0,1,front,middle,unround,0.7923013772730357,0.7923013772730357
1598,胜,sheng4,9,4863900,771352,0.726,1504255,1239176,1271968,837097,569496,212465,4686.153,6044.761,6085.971,4043.947,3389.857,2360.722,4435.235,2.353,244.255,3.61,4.125,3.4,3.5,ʂeŋ,4,high,falling,0,0,1,front,middle,unround,0.8631202295833442,0.8631202295833442
1599,晟,sheng4,10,138483,14228,0.814,2648,3679,12532,26530,45242,62051,8.249,17.946,59.962,128.164,269.298,689.456,195.513,3.707,0.0,6.0,4.375,3.8,3.7,ʂeŋ,4,high,falling,0,0,1,front,middle,unround,0.9068305492073263,0.9068305492073263
1600,盛,sheng4,11,1069196,162171,0.737,362579,178296,195583,196885,184046,114673,1129.53,869.737,935.804,951.135,1095.512,1274.144,1042.644,2.981,147.788,3.827,4.3125,4.1,3.8,ʂeŋ,4,high,falling,0,0,1,front,middle,unround,0.8683000275303788,0.8683000275303788
1601,嵊,sheng4,13,85,13,0.735,9,13,18,29,15,14,0.028,0.063,0.086,0.14,0.089,0.156,0.094,5.961,0.643,5.784,3.0625,2.9,3.2,ʂeŋ,4,high,falling,0,0,1,front,middle,unround,0.8673469387755102,0.8673469387755102
1602,师,shi1,6,110263,33800,0.531,31120,19333,20673,27116,30632,15049,96.947,94.307,98.914,130.995,182.333,167.211,128.451,3.888,517.515,3.285,3.1875,3.2,3.3,ʂɻ̩,1,high,level,1,0,0,missing,missing,missing,0.7653804238423467,0.7653804238423467
1603,诗,shi1,8,456531,817526,-0.283,184409,99502,94148,123497,347804,424871,574.483,485.376,450.469,596.604,2070.262,4720.789,1482.997,2.829,170.297,3.766,3.875,4.0,3.1,ʂɻ̩,1,high,level,1,0,0,missing,missing,missing,0.3583285520192582,0.3583285520192582
1604,施,shi1,9,19144,38530,-0.336,4048,3147,3649,11790,21311,13741,12.611,15.351,17.459,56.957,126.851,152.678,63.651,4.189,285.543,3.543,3.3125,3.4,3.0,ʂɻ̩,1,high,level,1,0,0,missing,missing,missing,0.3319346672677463,0.3319346672677463
1605,湿,shi1,12,128,73,0.274,58,24,9,38,51,21,0.181,0.117,0.043,0.184,0.304,0.233,0.177,5.929,104.056,3.979,2.0,2.5,2.4,ʂɻ̩,1,high,level,1,0,0,missing,missing,missing,0.6368159203980099,0.6368159203980099
1606,十,shi2,2,25139,16577,0.205,17114,7855,6241,4318,4603,1512,53.315,38.317,29.861,20.86,27.399,16.8,31.092,4.494,1888.702,2.724,2.875,2.9,2.5,ʂɻ̩,2,mid,rising,0,1,0,missing,missing,missing,0.6026224949659603,0.6026224949659603
1607,石,shi2,5,625900,245100,0.437,317918,161656,128478,139086,91285,31070,990.399,788.566,614.727,671.913,543.363,345.222,659.032,3.18,561.247,3.25,3.3125,3.0,2.8,ʂɻ̩,2,mid,rising,0,1,0,missing,missing,missing,0.7185993111366246,0.7185993111366246
1608,时,shi2,7,338406,162187,0.352,214955,96264,77185,52772,38524,20964,669.642,469.58,369.306,254.937,229.31,232.933,370.951,3.43,4313.57,2.365,3.3125,3.7,3.3,ʂɻ̩,2,mid,rising,0,1,0,missing,missing,missing,0.6760102518413162,0.6760102518413162
1609,识,shi2,7,5288,1380,0.586,1024,545,765,1736,1527,1077,3.19,2.659,3.66,8.386,9.089,11.967,6.492,5.125,803.123,3.095,3.25,3.2,3.5,ʈ͡ʂɻ̩,2,mid,rising,0,1,0,missing,missing,missing,0.7930413917216557,0.7930413917216557
1610,实,shi2,8,88878,28003,0.521,33262,16620,15429,22518,19075,10054,103.62,81.073,73.823,108.783,113.542,111.711,98.759,4.001,2272.192,2.643,3.5625,3.7,3.6,ʂɻ̩,2,mid,rising,0,1,0,missing,missing,missing,0.7604144386170549,0.7604144386170549
1611,拾,shi2,9,6534,6365,0.013,6262,2649,1814,1192,790,206,19.508,12.922,8.679,5.758,4.702,2.289,8.976,5.001,41.61,4.37,2.8125,3.1,3.1,ʂɻ̩,2,mid,rising,0,1,0,missing,missing,missing,0.5065508954182495,0.5065508954182495
1612,史,shi3,5,3992,1432,0.472,1421,817,776,1050,945,415,4.427,3.985,3.713,5.072,5.625,4.611,4.572,5.254,567.292,3.245,3.3125,3.4,3.2,ʂɻ̩,3,low,falling-rising,0,1,1,missing,missing,missing,0.7359882005899705,0.7359882005899705
1613,始,shi3,8,2459,395,0.723,1110,476,410,399,300,158,3.458,2.322,1.962,1.928,1.786,1.756,2.202,5.495,538.674,3.268,3.375,3.5,3.1,ʂɻ̩,3,low,falling-rising,0,1,1,missing,missing,missing,0.8615977575332866,0.8615977575332866
1614,士,shi4,3,1767120,772467,0.392,1124337,541159,388379,256510,150587,78460,3502.607,2639.8,1858.273,1239.179,896.351,871.778,1834.665,2.736,415.903,3.38,3.5,3.3,3.0,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.6958296762426331,0.6958296762426331
1615,示,shi4,5,275,192,0.178,147,51,57,66,83,23,0.458,0.249,0.273,0.319,0.494,0.256,0.342,5.872,453.911,3.342,3.1875,3.1,3.3,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.588865096359743,0.588865096359743
1616,世,shi4,5,5020341,1952886,0.44,2586407,1327088,1131028,805418,688186,435282,8057.343,6473.6,5411.617,3890.908,4096.345,4836.467,5461.047,2.263,907.372,3.042,3.5625,3.6,3.5,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.7199451559514698,0.7199451559514698
1617,仕,shi4,5,1408323,717367,0.325,783532,429730,390154,244826,182404,90684,2440.91,2096.244,1866.766,1182.734,1085.738,1007.6,1613.332,2.792,4.116,5.291,3.6875,3.3,3.3,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.6625251094938585,0.6625251094938585
1618,市,shi4,5,6670,1415,0.65,1155,600,1084,2618,2098,530,3.598,2.927,5.187,12.647,12.488,5.889,7.123,5.09,763.636,3.117,2.875,3.1,2.8,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.8249845392702535,0.8249845392702535
1619,式,shi4,6,5330,755,0.752,2752,1214,819,623,433,239,8.573,5.922,3.919,3.01,2.577,2.656,4.443,5.264,913.031,3.039,2.625,3.0,2.6,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.8759244042728019,0.8759244042728019
1620,事,shi4,8,6503,532,0.849,775,504,572,1069,2493,1621,2.414,2.459,2.737,5.164,14.839,18.011,7.604,5.065,1958.416,2.708,2.5,2.7,2.4,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.9243781094527364,0.9243781094527364
1621,侍,shi4,8,131,88,0.196,16,23,23,37,69,51,0.05,0.112,0.11,0.179,0.411,0.567,0.238,5.907,18.908,4.701,2.375,3.1,2.7,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.5981735159817352,0.5981735159817352
1622,适,shi4,9,9256,2508,0.574,1740,874,1387,2888,3220,1646,5.421,4.263,6.636,13.952,19.167,18.289,11.288,4.911,422.913,3.373,3.5,3.5,3.2,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.786807208432506,0.786807208432506
1623,轼,shi4,10,1404,133,0.827,224,150,259,391,300,213,0.698,0.732,1.239,1.889,1.786,2.367,1.452,5.61,1.994,5.524,3.3125,3.2,3.5,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.9134677944046844,0.9134677944046844
1624,释,shi4,12,2086,1718,0.097,118,114,185,520,1119,1746,0.368,0.556,0.885,2.512,6.661,19.4,5.064,5.217,172.484,3.761,3.3125,3.4,3.6,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.5483701366982124,0.5483701366982124
1625,奭,shi4,15,313,72,0.626,35,77,83,91,55,44,0.109,0.376,0.397,0.44,0.327,0.489,0.356,5.868,0.386,5.858,3.0,2.5,2.9,ʂɻ̩,4,high,falling,0,0,1,missing,missing,missing,0.812987012987013,0.812987012987013
1626,守,shou3,6,1532834,645566,0.407,1054715,485975,339018,176740,84234,33403,3285.717,2370.61,1622.096,853.816,501.393,371.144,1500.796,2.823,184.317,3.732,3.25,3.1,2.8,ʂou,3,low,falling-rising,0,1,1,back,high,rounded,0.7036513037091443,0.7036513037091443
1627,首,shou3,9,40233,7200,0.696,8562,6638,7994,9203,8967,6062,26.673,32.38,38.249,44.459,53.375,67.356,43.749,4.349,378.345,3.421,3.3125,3.3,3.1,ʂou,3,low,falling-rising,0,1,1,back,high,rounded,0.8482069445322876,0.8482069445322876
1628,寿,shou4,7,1068293,219235,0.659,700301,261476,171768,93700,44641,13507,2181.623,1275.493,821.856,452.657,265.72,150.078,857.905,3.066,57.43,4.233,3.625,3.7,3.1,ʂou,4,high,falling,0,0,1,back,high,rounded,0.8297240914372348,0.8297240914372348
1629,受,shou4,8,4697,1528,0.509,3377,1196,805,498,241,99,10.52,5.834,3.852,2.406,1.435,1.1,4.191,5.285,874.445,3.058,2.1875,2.7,2.8,ʂou,4,high,falling,0,0,1,back,high,rounded,0.7545381526104418,0.7545381526104418
1630,绶,shou4,11,20,10,0.333,19,1,0,3,3,4,0.059,0.005,0.0,0.014,0.018,0.044,0.023,5.99,0.9,5.721,2.75,3.2,3.0,ʂou,4,high,falling,0,0,1,back,high,rounded,0.6666666666666666,0.6666666666666666
1631,书,shu1,4,2289071,2376852,-0.019,2031330,1046061,746854,405214,260852,178682,6328.131,5102.737,3573.464,1957.556,1552.69,1985.356,3416.656,2.466,638.421,3.194,3.6875,3.4,3.1,ʂu,1,high,level,1,0,0,back,high,rounded,0.49059339384726236,0.49059339384726236
1632,抒,shu1,7,2714,7035,-0.443,293,461,796,1783,2866,3554,0.913,2.249,3.809,8.614,17.06,39.489,12.022,4.885,24.696,4.59,3.25,3.2,3.0,ʂu,1,high,level,1,0,0,back,high,rounded,0.27838752692583857,0.27838752692583857
1633,纾,shu1,7,264,1643,-0.723,67,72,134,322,466,846,0.209,0.351,0.641,1.556,2.774,9.4,2.489,5.457,0.579,5.802,3.6875,3.4,3.2,ʂu,1,high,level,1,0,0,back,high,rounded,0.1384373361300472,0.1384373361300472
1634,枢,shu1,8,18774,2409,0.773,10046,2886,2466,2383,2123,1294,31.296,14.078,11.799,11.512,12.637,14.378,15.95,4.771,23.731,4.607,3.3125,3.4,3.3,ʂu,1,high,level,1,0,0,back,high,rounded,0.8862767313411698,0.8862767313411698
1635,叔,shu1,8,11369,58991,-0.677,41292,13374,8875,4293,1935,612,128.636,65.239,42.464,20.739,11.518,6.8,45.899,4.329,119.555,3.919,2.875,3.1,2.8,ʂu,1,high,level,1,0,0,back,high,rounded,0.16158328595793064,0.16158328595793064
1636,姝,shu1,9,1304,215606,-0.988,7219,9736,21661,42969,61135,73970,22.489,47.493,103.641,207.58,363.899,821.889,261.165,3.581,0.0,6.0,3.5625,3.6,3.0,ʂu,1,high,level,1,0,0,back,high,rounded,0.0060117099257756676,0.0060117099257756676
1637,殊,shu1,10,2787,4946,-0.279,490,447,802,1265,2241,2489,1.526,2.18,3.837,6.111,13.339,27.656,9.108,4.995,138.463,3.856,3.0,3.2,3.1,ʂu,1,high,level,1,0,0,back,high,rounded,0.36040346566662357,0.36040346566662357
1638,淑,shu1,11,218984,11393410,-0.962,6312851,2557069,1489347,639935,399377,208090,19666.202,12473.507,7126.062,3091.473,2377.244,2312.111,7841.1,2.106,22.895,4.622,4.0,3.8,3.1,ʂu,1,high,level,1,0,0,back,high,rounded,0.018857782469316835,0.018857782469316835
1639,舒,shu1,12,106933,388430,-0.568,15198,14382,22415,74075,180255,189105,47.346,70.156,107.249,357.85,1072.946,2101.167,626.119,3.203,65.083,4.18,3.9375,3.8,3.4,ʂu,1,high,level,1,0,0,back,high,rounded,0.2158679594559949,0.2158679594559949
1640,疏,shu1,12,703,1356,-0.317,73,88,109,258,746,780,0.227,0.429,0.522,1.246,4.44,8.667,2.589,5.445,59.102,4.221,2.5625,3.0,2.8,ʂu,1,high,level,1,0,0,back,high,rounded,0.34142787761049054,0.34142787761049054
1641,属,shu3,12,415,453,-0.044,425,146,119,101,63,14,1.324,0.712,0.569,0.488,0.375,0.156,0.604,5.795,406.128,3.39,2.6875,2.9,3.0,ʈ͡ʂu,3,low,falling-rising,0,1,1,back,high,rounded,0.478110599078341,0.478110599078341
1642,署,shu3,13,4625,676,0.745,539,782,1503,1673,714,119,1.679,3.815,7.191,8.082,4.25,1.322,4.39,5.268,35.178,4.442,2.5625,3.0,3.3,ʂu,3,low,falling-rising,0,1,1,back,high,rounded,0.8724768911526127,0.8724768911526127
1643,蜀,shu3,13,7002,6380,0.046,3558,2314,2427,2128,2147,805,11.084,11.288,11.612,10.28,12.78,8.944,10.998,4.921,9.518,4.978,2.9375,3.1,3.1,ʂu,3,low,falling-rising,0,1,1,back,high,rounded,0.5232401733672097,0.5232401733672097
1644,曙,shu3,17,93528,21232,0.63,17860,24236,32761,24051,11566,4165,55.639,118.224,156.751,116.188,68.845,46.278,93.654,4.024,5.274,5.202,3.9375,3.9,3.7,ʂu,3,low,falling-rising,0,1,1,back,high,rounded,0.8149878006273963,0.8149878006273963
1645,术,shu4,5,163158,343195,-0.356,255444,121384,83578,29731,12993,3392,795.776,592.117,399.895,143.628,77.339,37.689,341.074,3.466,983.71,3.007,3.125,2.9,3.4,ʈ͡ʂu,4,high,falling,0,0,1,back,high,rounded,0.3222218491842647,0.3222218491842647
1646,述,shu4,8,230551,202608,0.065,215547,94647,69836,30448,14883,5951,671.486,461.693,334.144,147.092,88.589,66.122,294.854,3.529,308.374,3.51,3.0625,3.2,3.0,ʂu,4,high,falling,0,0,1,back,high,rounded,0.5322548994710949,0.5322548994710949
